file	bytes	sha256	dryad_file_id	downloaded	method
2021_Phenomic_Data_VIS-NIR.csv	729380	22D6FC6D658CBD875EA5C57393FDC077C9F4B872A0FF6EF8AE38CF88B4448DB6	4202047	2026-06-02	Playwright browser (Anubis PoW + WAF gated)
2022_Phenomic_Data_VIS-NIR.csv	697606	8E5887560E78CFBEE43B5AE72521E05AFA1363DCFBD5D2EF2B00411CC7EB79E7	4202048	2026-06-02	Playwright browser
2021-2022_Across_Years_Phenomic_Data_VIS-NIR.csv	1368047	B7355C57DAE54C68705AD9075783D98206C59EB3A71E049F9DC9A35D48A56F91	4202049	2026-06-02	Playwright browser
README.md	3854	EBBB53B9CA9A84B25C03289594AF4233ECC5BD05568088B976620979183DD279	4202051	2026-06-02	Playwright browser
AMAT_IMPUTED_NUMERIC_3117ind_15456snp_0.05MAF_0.70coverage_0.10het.csv	107488221	NOT_DOWNLOADED	4202050	-	skipped (SNP matrix irrelevant to spectral-only 2A)
# source: Dryad doi:10.5061/dryad.d2547d8bx (Concepcion & Olson, MSU, 2025-07-29)
